model,language,total_correct,total_questions,total_accuracy,errors,Humanities_correct,Humanities_questions,Humanities_accuracy,Social_Sciences_correct,Social_Sciences_questions,Social_Sciences_accuracy,STEM_correct,STEM_questions,STEM_accuracy,Profession_correct,Profession_questions,Profession_accuracy,Other_correct,Other_questions,Other_accuracy
Qwen__Qwen3-4B-Instruct-2507,en,13437,26431,50.84,0,4661,11010,42.33,4102,7968,51.48,3508,5113,68.61,513,975,52.62,653,1365,47.84
Qwen__Qwen3-8B,en,13471,26431,50.97,0,4317,11010,39.21,4302,7968,53.99,3615,5113,70.7,552,975,56.62,685,1365,50.18
Qwen__Qwen3.6-35B-A3B,en,18341,26431,69.39,0,6255,11010,56.81,5858,7968,73.52,4539,5113,88.77,736,975,75.49,953,1365,69.82
bigscience__bloomz-1b1,en,6710,26298,25.52,133,2966,10902,27.21,1941,7957,24.39,1202,5110,23.52,253,971,26.06,348,1358,25.63
bigscience__bloomz-1b7,en,7780,25769,30.19,662,2980,10759,27.7,2639,7918,33.33,1407,4861,28.94,342,920,37.17,412,1311,31.43
bigscience__bloomz-3b,en,7579,24702,30.68,1729,2953,9762,30.25,2559,7693,33.26,1403,5030,27.89,283,875,32.34,381,1342,28.39
bigscience__bloomz-7b1-mt,en,6981,23480,29.73,2951,2628,9449,27.81,2418,7206,33.56,1277,4602,27.75,283,889,31.83,375,1334,28.11
claude-haiku-4-5,en,18852,26403,71.4,28,6443,11000,58.57,6033,7953,75.86,4624,5110,90.49,740,975,75.9,1012,1365,74.14
claude-sonnet-4-6,en,21914,26431,82.91,0,8003,11010,72.69,6961,7968,87.36,4926,5113,96.34,850,975,87.18,1174,1365,86.01
deepseek-ai__DeepSeek-V4-Flash,en,21759,26403,82.41,28,7555,10995,68.71,7170,7962,90.05,4979,5107,97.49,876,975,89.85,1179,1364,86.44
enstazao__Qalb-1.0-8B-Instruct,en,9189,26431,34.77,0,3302,11010,29.99,3002,7968,37.68,1952,5113,38.18,393,975,40.31,540,1365,39.56
gemini-3.1-flash-lite,en,22348,26430,84.56,1,8169,11009,74.2,7172,7968,90.01,4952,5113,96.85,880,975,90.26,1175,1365,86.08
gemini-3.5-flash,en,23810,26396,90.2,35,9352,11005,84.98,7335,7960,92.15,4988,5103,97.75,898,975,92.1,1237,1353,91.43
google__gemma-2-9b-it,en,14611,26431,55.28,0,5198,11010,47.21,4653,7968,58.4,3430,5113,67.08,585,975,60.0,745,1365,54.58
google__gemma-3-4b-it,en,11611,26431,43.93,0,4169,11010,37.87,3799,7968,47.68,2555,5113,49.97,466,975,47.79,622,1365,45.57
google__gemma-4-26B-A4B-it,en,18298,26430,69.23,1,6323,11009,57.43,5883,7968,73.83,4393,5113,85.92,736,975,75.49,963,1365,70.55
google__gemma-4-31B-it,en,20186,26429,76.38,2,7003,11008,63.62,6510,7968,81.7,4772,5113,93.33,816,975,83.69,1085,1365,79.49
gpt-5.4,en,21358,26431,80.81,0,7629,11010,69.29,6880,7968,86.35,4864,5113,95.13,837,975,85.85,1148,1365,84.1
gpt-5.4-mini,en,19408,26431,73.43,0,6916,11010,62.82,6177,7968,77.52,4517,5113,88.34,771,975,79.08,1027,1365,75.24
