model,language,domain,subdomain,correct,questions,accuracy
Qwen__Qwen3-4B-Instruct-2507,en,STEM,biology,538,931,57.79
Qwen__Qwen3-4B-Instruct-2507,en,STEM,chemistry,626,936,66.88
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,civics,386,675,57.19
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,commerce,213,423,50.35
Qwen__Qwen3-4B-Instruct-2507,en,STEM,computer science,637,823,77.4
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,current and international affairs,161,437,36.84
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,economics,472,907,52.04
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,education,474,836,56.7
Qwen__Qwen3-4B-Instruct-2507,en,Humanities,ethics,111,228,48.68
Qwen__Qwen3-4B-Instruct-2507,en,Humanities,fine arts,89,148,60.14
Qwen__Qwen3-4B-Instruct-2507,en,Other,general knowledge,653,1365,47.84
Qwen__Qwen3-4B-Instruct-2507,en,STEM,general science,636,926,68.68
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,geography,358,630,56.83
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,health and physical education,366,742,49.33
Qwen__Qwen3-4B-Instruct-2507,en,Humanities,islamic studies,740,1497,49.43
Qwen__Qwen3-4B-Instruct-2507,en,STEM,mathematics,623,876,71.12
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,pakistan studies,832,1895,43.91
Qwen__Qwen3-4B-Instruct-2507,en,STEM,physics,448,621,72.14
Qwen__Qwen3-4B-Instruct-2507,en,Profession,professional development,222,514,43.19
Qwen__Qwen3-4B-Instruct-2507,en,Profession,professional studies,291,461,63.12
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,psychology,256,460,55.65
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,psychometrics,55,185,29.73
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,sociology,529,778,67.99
Qwen__Qwen3-4B-Instruct-2507,en,Humanities,urdu grammar,390,756,51.59
Qwen__Qwen3-4B-Instruct-2507,en,Humanities,urdu language,1098,2522,43.54
Qwen__Qwen3-4B-Instruct-2507,en,Humanities,urdu literature,2233,5859,38.11
Qwen__Qwen3-8B,en,STEM,biology,563,931,60.47
Qwen__Qwen3-8B,en,STEM,chemistry,626,936,66.88
Qwen__Qwen3-8B,en,Social Sciences,civics,404,675,59.85
Qwen__Qwen3-8B,en,Social Sciences,commerce,245,423,57.92
Qwen__Qwen3-8B,en,STEM,computer science,638,823,77.52
Qwen__Qwen3-8B,en,Social Sciences,current and international affairs,131,437,29.98
Qwen__Qwen3-8B,en,Social Sciences,economics,512,907,56.45
Qwen__Qwen3-8B,en,Social Sciences,education,524,836,62.68
Qwen__Qwen3-8B,en,Humanities,ethics,137,228,60.09
Qwen__Qwen3-8B,en,Humanities,fine arts,69,148,46.62
Qwen__Qwen3-8B,en,Other,general knowledge,685,1365,50.18
Qwen__Qwen3-8B,en,STEM,general science,654,926,70.63
Qwen__Qwen3-8B,en,Social Sciences,geography,362,630,57.46
Qwen__Qwen3-8B,en,Social Sciences,health and physical education,389,742,52.43
